Comment,Author,Comment ID,Like Count
"Technoblade never dies, hes happy for us.",@Zaneplays-n5t,UgzzGoHoSpzYxpirniV4AaABAg,0
He was the blood god he was pure chaos incarnate and it was funny as hell my hats off to a fallen comrade o7 r.i.p technoblade and you haven't died you live on in memories a d in our hearts mate,@tyriellevermore1422,UgzahpJgPdhjUc9Qe0x4AaABAg,2
"If you didn't cry, there is something wrong with you. (I cried for 30 minutes straight)",@I_Am_The_Voids,UgxQsDhvgvtmS7Txvot4AaABAg,0
I’m not crying you are😢,@NobodySuspectsAnything,UgxcvAw95twWSF0zkS14AaABAg,0
He still has the hottest elbows the world has ever known.,@DeafMarsh,UgyA4NqZWxLFd2vfN8B4AaABAg,1
To the king that never die's,@wander44-g1m,UgyVIPWvJFGGJ68GJRt4AaABAg,0
"just over two years now I think, Techno/Alex still inspires me to do more with my life and still miss his vids so much",@CCParkerVA,Ugy9J1Nbo1re-xc7gEt4AaABAg,1
"The older I grow the more I realise that I don't care about MCC or a 3 v 21 or whatever, I care about how I felt at that time, it was fun, it was hopeful, it was a time of chaos and I loved it, can't wait until the next thing to rock my world as hard as Unus Annus and Technoblade",@dubles06,UgylfCG5EUfgWPKBDV54AaABAg,3
blitz is making me cry,@Novix_xe,UgwHxsLmOl-mJb7edMh4AaABAg,0
THE ENDING 😭 i miss him so much,@Novix_xe,UgypTCYWTskZ2K96Kll4AaABAg,0
"i wish he never left, it would have been better, but we can't, all we can do for him is remember him, never forget him, tell your children about him, he may be gone, but he will never die in our hearts. R.I.P Technoblade, you will be missed greatly",@IlikeDucks09217,UgxZ6n_pi2Nr3g44TaF4AaABAg,2
"Technoblade may not be with us on Earth, but this man ain't ever fking dying not now not ever, or is the saying wrong? Oh wait it's never wrong, ""NOT EVEN CLOSE BABY TECHNOBLADE NEVER DIES, TECHNOBLADE NEVER DIES"", a phrase said by non other then Technoblade himself, thee most iconic phrase and the only phrase meant for the true king of Minecraft, Technoblade we miss you man, we all already know you've beaten god already and you're just sitting up there playing Minecraft with god and all lol, we all already know that, so R.I.P. Technoblade, fly high man we love and miss you now and forever always, Technoblade, The Blood God, known by many, known by many names, The One and Only True King of Minecraft, Technoblade The Blood God, The Blade King, The King of Pigs, and so many more. Technoblade we love and miss you man R.I.P. 🫡🤘🔥💚😭😁😎


P.S. this was an awesome fing tribute to Technoblade, TYSM for this too, it's something that even he'd be proud of",@Jdaman2.0,UgxjuW_2ejaJWuYx6ZN4AaABAg,2
all the memories😢 thank❤,@Oliin99,UgwNA0vgov0ClKcQJMB4AaABAg,0
