Comment,Author,Comment ID,Like Count
Trump forever,@propertycareinfoinfi2575,UgzvIsIk22BkYh2IpQd4AaABAg,0
Where’s the part where she talks about how tump wrote love letters to Kim jong un,@Yourtoiletwater2131,UgxK02e15PLRRN-r2YB4AaABAg,0
She's full of it!,@Anthony-nc6lf,UgwiDp4VJNb3Y4SCcst4AaABAg,0
"Dems keep saying things, but my life is ssooooo much better under Trump.",@poopsmith008,UgzSmafo01_lKhjqU1N4AaABAg,1
We sure did turn the page and the entire book on  this idiotic woman,@rrios283s73,Ugzvzoi0NrksIxlj0pR4AaABAg,1
That woman was a completely joke,@rrios283s73,Ugw9Vd6Undtwv8ROteh4AaABAg,1
Bro who tf voted for her🪑,@user-unavailable,UgwQIwocfNdKeZ8Bv3t4AaABAg,1
Usa is a reality show at this point,@lunarmoon23,UgytxsFJON4eH0-AwV54AaABAg,1
"Harris: its about lifting people up and not beating them down and no name calling...

Yea tell that to your supporters that are having meltdown like crazy abd wanting to threat and actually hurt people because they didnt get what they wanted",@TamaraFlanagan-z6p,Ugx6XUjyjDPVRgv-T294AaABAg,0
I can’t stand listening to her fake laughter.,@PatriciaMartin-mh5ki,Ugxf_3S6QfAkIsmfkUF4AaABAg,0
They should’ve looked at the comments and they would’ve know Trump was gonna win lol,@tdogreed476,Ugy1Jatmnr71getHa3l4AaABAg,1
29:32: the greatest meme of all,@Hensley316,Ugy8-prCNFIZD9kDGqR4AaABAg,1
29:29 They are eating the cats they are eating the dogs!,@tehellbruh,Ugzh77tTfJzUbx4oH-h4AaABAg,1
0:22 yeah I got news for you,@jamhousestudios5596,Ugw4hbZj_7B8YUMH9wN4AaABAg,0
"All in all, Trump did well in this ABC presidential debate, because it was crystal clear that they’d teamed up 3 against 1. So ridiculous! The questions and everything was so biased. This was the MOST poised I’ve ever seen Kamala, clearly this was well-rehearsed.",@illybodd3814,UgwPzm276sgIbpaFsuR4AaABAg,0
America needs a strong leader! and that is Trump ✊️,@glendalefernandez4858,Ugz94S0aKOoOJcU6iy54AaABAg,0
She have a dry mouth means she’s lying,@sahalhassan9720,UgzhqXfFFdagVk9l7t94AaABAg,0
Watching this after is hilarious how low that Scamala stooped 😂 Trump ❤,@ScottishPixie87,UgzAWxjzSnD0ZyONEkt4AaABAg,1
“Why they keep checking Trump” BECAUSE HES LYING,@navyswae,UgwUJlavCQ1b_iZXOOJ4AaABAg,2
They really tried everything to get us to hate him. Guess what? WE SAW RIGHT THEOUFH THIS PLOY. You guys clearly were paid by HER team. TRUMP 2024,@MattMolecule,Ugwkk4Vr8TBt8iFrPPl4AaABAg,0
I'm from the future. President Trump won! 👍🏻👍🏻👍🏻,@mazmanianh1,Ugwr51lNVo-OlUo_LPx4AaABAg,0
"As a non-American, watching this made me understand why Trump won. He's sharp, consistent and full of conviction because he speaks the truth and has pure intentions. She's visibly shaken, beats around the bush and comes off very insincere. I've never heard her speak before but she didn't do herself any favors with her answers and demeanor.",@-_-_-_-_-_,UgyLeVdjmHl3yf4KxZ54AaABAg,1
😂😂😂😂😂😂😂😂😂😂,@Slothcomic,UgyFCErOx1xnFtRdjBZ4AaABAg,0
"If the election was held the next day after this debate, Harris would have won",@CerciRodriguez,Ugxws5DdgJAdrtDLYKp4AaABAg,0
Kamala  Week and so is Joe Biden. And she’s such a liar about the military they did not say that,@hatman4476,UgwbyinfvgTUXUPEpq54AaABAg,0
Came here to say we did bye bye Harris you commie,@jihnloez1247,UgwLIVhvw3XJ7EU84f94AaABAg,0
I remember them Twinkies,@Dpluggo,UgzYIHyZF0ntYssclaV4AaABAg,0
"TRUMP 2024!!!!!!! HIS PRAYERS IS WITH US!!!!!!🫶🏻🙏🏻🙏🏻💗💗💗💗
NO KAMALA!!!!
LIKE IF U LOVE TRUMP!!!!
👇🏻",@Preppytigerlilly,Ugz5_E-Dr1suRkgwjvR4AaABAg,1
The most scary thing in this country is that people who can't even count change are voting for our future.,@taylorshackelford9841,Ugxytp8FcT-g5hcoAFZ4AaABAg,0
I can’t stand that man. Im glad they fact check him because the things he says are ridiculous.,@msbeemunoz,UgzxfUpg6qVYnqI9Z4V4AaABAg,0
President Trump 2024 🇱🇷🇱🇷🇱🇷🇱🇷🇱🇷❤️🙏🙏🙏,@paulineeliadis7685,Ugws2SBGQ9JJHGMP0Il4AaABAg,0
"Trump is a Joke🤡 😂😂.
Don't want a clown for my President.",@lynetteetsitty2930,UgxzBLgmusH6i5jf3R54AaABAg,0
i know someone who gotten abortion at 8 months pregnant and i know someone who gotten 10 abortions because they didn't want the baby nothing was wrong just didn't want it,@kierstencrabtree384,Ugw56DxkEBxrD8MSMPB4AaABAg,1
She said that Trump refused to rent a property to a black family?!!😂😂 I would do exactly the same…they never pay rent on time or not at all!!!,@garbageman1983,UgyyH85UTKABsbw6cv94AaABAg,1
Voted for 🗳️ garbage 🗑️ 🇺🇸🇺🇸🇺🇸period,@Chilipipanulu,UgyU9l_7fv35pX80yGR4AaABAg,1
America is F*CKED!,@Lovee-v3b,UgzHBYUvjVz442yXTq54AaABAg,0
"Aight I gave it 30 mins my brain can’t take anymore, not to mention they said two mins mics turned off then they start heckling eachother. All news is fake news, Savior come home now plz. 🤦🏼‍♀️",@CheekyMoth,UgzSdModLKPhMPaKit14AaABAg,0
"I don’t vote and I never will, but I will say it seems elite doesn’t want Trump in there cause he stirs up rebellion. I don’t like him, I don’t trust her, but I think THEY don’t like him either. 🤷🏼‍♀️ Jesus for president! Lol",@CheekyMoth,Ugzg3Mz125bTJCsD8SV4AaABAg,1
38:44 that aged well,@Strange2259,UgznDc7gAzWvR56cul14AaABAg,0
Talk to the people of Springfield Ohio I live hereeee itsss badddddd,@gabeseniours8232,UgyRN9UDynqmdu9GMIF4AaABAg,1
Kamala Harris I hate Donald Trump with all my heart and soul why because I'm a moron,@brianmarkle7032,UgxwFEzjiMQpAPVbv0l4AaABAg,0
"If we go into recession is because of the Democrats, they created this mess and I hope Trump can get us out of it",@tammyuzee1273,UgxooBLd8t20giXQe-94AaABAg,0
We need a better plan than the last four years. I guarantee you.,@tammyuzee1273,UgwUF3nnSdB_-VS02Ot4AaABAg,0
Trump is racist,@juhaidajamal,UgzbimaiGxT69VMKSBR4AaABAg,0
Trump is stupid 😢,@juhaidajamal,UgxG90-Sc5IDmygmeLZ4AaABAg,0
"This is a prophet Speaking.  Pls 🙏🙏🙏🙏 Donald Trump and his team/party should be  very very watch full,  observant, very Smart, Wise To make sure and ensure that Kamala Harris and her team/party will not be able to secretly manipulate, corrupt and rigg the US election. I love❤ America so much. God Bless America (USA)  and all it's Allies",@FinancialTrends11,UgzEH_nqMcMHCvwzspB4AaABAg,1
How the hell is this ellection close are Americans really that dumb? Or is the vote rigged just like last time.,@EllenDegenerate-o5b,UgzRaG74weYnnvBZ15Z4AaABAg,0
Kemala Harris is mala.. Trump 2024🎉🎉🎉,@ricardogomez6555,UgxCLWOeGwxKUVIj0R14AaABAg,0
"Why do you think more than half of trumps own staff when he was president do NOT support him this time? John Bolton (trumps security advisor, Dan Coats (director of national intelligence), Mark Esper (Secretary of defense), John F Kelly (trumps longest serving chief of staff), HR McMaster (security advisor) have all of them openly said that he is not fit to be president. And they are obviously right.",@danielsandström-y7r,UgwU_LMaer_B5sAFrYp4AaABAg,1
dont forget to vote on election day november 6th!,@WiR3DGaMiNG,Ugze68eh6qd3yam90pV4AaABAg,0
VOTE TRUMP VOTE EARLY MAKE IT TOO BIG TOO RIG!,@JuniorDee-w6e,UgwW0yqGZ3G5WSs7RO94AaABAg,0
Ask her a question... blah blah no answer.,@natalie2278,Ugwwo-s5c2UuulFDHqp4AaABAg,0
Kamala basically said she would rather continue this war in Ukraine than end it don’t listen to the abc news people in the comments,@JamesBailey-x4j,UgxHnGqs12VKk2Kxw954AaABAg,1
Putin said he would prefer Biden as president because it would be better for him,@JamesBailey-x4j,UgyjD8Ot63mcOz-fQ394AaABAg,1
"I love how liberals are calling our comments bot comments like just denying we have an opinion or exist lmao stop oppressing. We have the most likes, we comment everywhere, we work with you, where probably in your family somewhere wake up",@JamesBailey-x4j,UgyG3LWmMROh2YUD9Sp4AaABAg,1
Kamala💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,@Billygoat808,UgwwoykL-dOYO8y3n6x4AaABAg,0
"Swear word of the late twentys: "" you are really trumpy"".",@richardalf9479,Ugxz36QhAJeSWUMi0F14AaABAg,1
Antarktika im,@AnantGunwantSalbarde,UgyZdtufLLn6ULSJwDx4AaABAg,0
Blame Game the Great Narcissist has spoken! The Great Twist & Shout  has FAILED !  Our eyes have been opened across the country to see how much America 🇺🇸 needs President Trump ! Jesus Christ has preserved Trump for a time such as this!,@sandraschwenn414,UgxLusIxAyXFMafkGDR4AaABAg,0
562 Brakus Stravenue,@McDonaldMatt-x4g,UgyIryUeYyamJ5cNQT14AaABAg,0
