Comment,Author,Comment ID,Like Count
"Watching this on MacBook Pro M1, 2024/11",@東明耿,UgzNTVkFgYXJOVP9skV4AaABAg,0
"I’m watching this on an iPhone in 2024, and I want an iPhone",@KevinSitaras,UgyCn3_VStsR1YsP7OV4AaABAg,1
It's been 17 years since then. Still no sign of another Jobs.,@masison7095,Ugx6zS83OTdDyCLgn6N4AaABAg,0
"Apple did what it was supposed to do: make the internet creative, in the palm of your hand",@EchoRhythmMusic,UgwxL8_jQ9Vmbaq_xuZ4AaABAg,0
Arguably the beginning of the end.,@markhodges1276,UgyVusaLQC3d-xNz69F4AaABAg,0
18:06 god this is peak 2007 vibes,@flaming_skull,UgykUGLHLsENKNZKlK54AaABAg,1
I'm a Chinese. Feeling so embarrassing for those stupid China companies copy this conference and produce shit.,@EmBA-h1b,UgyVTtCSH__sUn4Vhsd4AaABAg,0
And here we are in 2024 and it still can't make me a cup of tea   ☕,@pulsey2001,UgwqQDmJNoIutRxFj8B4AaABAg,0
Iphone was a culture shifter for sure greatest moments of the 21st century for sure,@sven7037,UgzN6dhKoDPHqOWJbtF4AaABAg,0
Steve job is so good he makes me want to buy this iPhone in 2024,@Lexaxel33,Ugwa9JQkfJsUUT_wL294AaABAg,0
This has aged well.,@friendlymaendi,Ugzzp3CXs7WWrxHFVWx4AaABAg,0
"Let's go back in time a little: What is this? It's a wonderful,!!! very strange device. I want to get it.  😍",@MohamedKamal-n2q,Ugzb9Vn_DYjfxy2qxnJ4AaABAg,0
Really game changer. Real apple man in the world.,@manduulaa,Ugy8yL2FqHTQa_v8QLV4AaABAg,0
before google created android,@BeatlesGgbet,Ugx1dajdzbdEIU7OGDl4AaABAg,0
Back when the iphone was simple to use,@paposeco06,UgxeT-FlKiRb6WZ514p4AaABAg,0
These new iPhone 1’s look pretty cool. Might trade in my iPhone 15Pro for one,@anthonypearson6759,UgzgTbfZ-g8WDFAsi0Z4AaABAg,0
this is literally a piece of history. Steve has changed the world.,@cornetto_2806,Ugw_IB_hlhWVKNTIO_d4AaABAg,1
Who's here at 2025?,@squido5640,UgxAAM-Rwas9jEF2E054AaABAg,0
wow this is like a comedy now in 2024... I am laughing so hard when the audience clapped for just take your finger and scroll up,@vs1013,Ugz5BF1MW4xzzkWUrvB4AaABAg,1
"Man, the “no stylus” part still makes me laugh, even though I own an Apple Pencil for my iPad 😅😂",@charliebrmg,Ugym4QfuQa7I5--I5IJ4AaABAg,0
steve jobs was a genius,@groovestreet,UgzBWC3-Dt-_ABvPskx4AaABAg,0
😂😂 и что сейчас яблоко это очень переоцененный бренд. По сути ширпотреб по оверпрайсу.,@Bystander_Ua,UgwUEEx_jvLChUBPDbx4AaABAg,0
Hello im from indonesia.,@muhammadfathurrosyidcoc3559,UgxLxihq2O7PySoR2Jx4AaABAg,0
now we have iphone 16,@MrProgrammer-d3x,UgxTP0FcyuUMzG43ObB4AaABAg,1
I'm watching this on my iPhone 16.,@amerioun,UgzXedliMlLBwQRkwAZ4AaABAg,2
"Not a smartphone in sight, just people living in the moment.",@thecakeisalie6601,UgyUHO0zRvCqPw0nQbB4AaABAg,2
One of the first Apple disciples 😎,@MrBUESUM,UgxtceDzCi10mWzcVoV4AaABAg,0
Who’s here in November 2024?,@realjackeal,Ugx6pWBjJBnZWGdSXKZ4AaABAg,6
2107 who’s here,@iPhone3GS_68,UgxkbuMdanx7Po5mJmB4AaABAg,1
"And nowadays apple reveals their INCREDIBLE feature of moving and rearranging icons in your home screen, it almost feels like they did progress, but backwards.",@mercoro,Ugy8SPPPQ6e8QYXZOBl4AaABAg,1
This is the coldest crowd you could have,@Tyron95,UgxR6wCQf7OyOLv11Nd4AaABAg,0
watching this from my iphone 15 pro max fully paid,@christiansantos1031,UgxM5ihEJnA-Q1VtOct4AaABAg,0
Genius explained to normal people,@OscarBenben,Ugz3AdX_lSunE6-LZBd4AaABAg,1
they had Split View ?!!!!!!? (For email 39:50),@bernardb2348,Ugx3Uq8DTvVUZtcTKi94AaABAg,1
Bring back aqua UI please!,@alexchernavskiy,UgyzwckLVpM44I49vCR4AaABAg,1
"Thousands of comments here and I don’t have time to read them all. But as others may have pointed out, the iPhone wasn’t 3 devices in one, it was 4. He doesn’t mention the camera. But the camera and not yet introduced front facing camera changed everything. Suddenly everyone had a camera with them at all times. No need to lug around another device. And perhaps digital cameras were already killing film photography but the iPhone was a nail gun closing the coffin on an entire industry.",@robertforman3494,Ugwwd0rT5STjPuOxnTN4AaABAg,0
I don't think this product will catch on.,@squareinsquare2078,UgyVFgRz1MwXd7LlprR4AaABAg,0
🗺,@adelahani5987,UgwWzQIRbRWf8JT6YPx4AaABAg,0
"Internet is an astonishing technology 
Smartphone is an astonishing technology 

Combine them and you're get the future we live in",@squidwardfromua,UgzOm1Vo2RAaQen_3Ix4AaABAg,1
"Parents: **buy a smartphone for grandma**
Me tonight:",@squidwardfromua,UgxKEBYaqJ9_oz16i5B4AaABAg,0
"I am now looking down on my iPhone 16, 17 years later🎉",@stradnyc,UgwQYf0tUXyg3VkGl5t4AaABAg,0
peak invention! the beginning of greatness && the death of nokia😞,@mbongenimhlanga4263,UgzNXTqjn6nQK6FBwY14AaABAg,0
2025 right now! Who’s still here?,@zixiaohuo,Ugz1rpuac9O_JlWCiu94AaABAg,0
Why 2mp  camera was not shown in the demo?,@arunkumar-cp5sj,UgxSMUhTWuRMu4fr8rp4AaABAg,0
06.11.2024 who is here? 😂,@FreeEmptyWhole,Ugx8r05FKHbwHOmFwvZ4AaABAg,2
this guy has the charisma and clarity that is so lacking by tech execs today... even though he was a massive taskmaster asshole from time to time,@aidandavis7657,UgylUlSjdYWOEkEYjOZ4AaABAg,0
we are watching a historical footprint,@bahaazytkafatima7289,UgwNjpXb318UE5cB3YF4AaABAg,0
I'm from 2024 and I really cried when I watched this presentation. SJ changed our life!,@majed8058,Ugxv2nkU-etjq2cTJGp4AaABAg,1
Please disband Apple company.  I can't or won't be able to have it if this continues. They create disparity and discrimination.,@yumitokushige8486,UgwMPUrHMlFxvPrU0i54AaABAg,0
Me watching this on my iphone 15,@natashanair7607,UgxLqNL8EqbcbaP6A-N4AaABAg,0
"The ""really big"" for the 3.5 screen and highest resolution for 160 ppi makes me miss simpler times 😊",@sheenasolero,Ugw9D12WqhQEug_4mw14AaABAg,0
2047? Who is here?,@owydiu,UgzZZ7JJHwyH727Wort4AaABAg,1
