Comment,Author,Comment ID,Like Count
Three start. I have some issues like some keys don't work on first instance..and is somewhat slow also,@wsj,Ugycp3Qy3-70wRUnxdh4AaABAg,241
Heating and not wake up. Check twice when buy it on Offer.,@biancasatterfield2900,UgyCQDHGrga2yQkpiBl4AaABAg,0
2nd hand laptops!!! The laptop I received already had an user on it with password etc. These are not new laptops!,@filipdimiskovski8841,UgyrE2nZpFHUUPi2LbF4AaABAg,0
BEST LAPTOP IN A PRICE SEGMENT OF Rs 55-60K.,@kevinjoseph517,Ugw9uCmcYuI6oEJMVzB4AaABAg,0
second hand product. don't buy this. It is used. battery power is low. stand by power is only 4 hour.,@AleydisRoscoe,Ugy1oGKUmTRxdX5-_4Z4AaABAg,0
very bad. My product is not working what do I do ? I have paid everything! This is very very bad .,@SafeForge-w9n,UgzqAZXRfwP94khJy754AaABAg,0
waste of money. Battery is draining out very quickly after 2-3 hours of usage. Also it's not lasting for more than 7 days once it's in a sleep mode.Not at all recommend.,@DTsoumpas,UgyIDikzc1NJGsdarH94AaABAg,0
Very bad product. The Serial number on the product and the serial number on the laptop are different.,@DavidDavid-y8z,UgwxneCNCyzdokVe3CN4AaABAg,0
One star. Trackpad not working... tried 2 contact amazon.. not picking,@GaryJackson7Moore-k5q,UgyqVE2ON78hib4EN394AaABAg,0
two star.Returned looking for Mac pro.,@JimmyMarcia-d5v,UgyZnEFXcVJV2SZUrsx4AaABAg,0
Three star. very low memory. Not good buy.,@wilmotfulton4400,UgyuWQSXttB_hQISYcF4AaABAg,0
Bad product. Battery issue with the laptop. Doesn't give backup as expected . Really upset with the product.,@WallisThackeray,UgwWbPb--6ayplGuiaJ4AaABAg,0
not a good product. charger not working after week use,@LukeNat-e2z,UgwzD8nag2lFtTde3kt4AaABAg,0
better laptop is available in this price segment.,@ReynoldsMacaulay,UgwyBe9r7U5lfc-7x-54AaABAg,0
have had extremely bad experiences with Apple products. they suffer from a chronic problem which is well known : overheating,@JoseHarris-u5t,UgwlXBaPREfpZLsFPvd4AaABAg,0
Worst display.. fonts are blurry.. best part is help less amazon care. saying that there is no return policy..,@LindaRodriguez-d6g,UgwwB8PHHlaV4S8jfxZ4AaABAg,0
It’s been just 2 months and the device has already stopped functioning. It doesn’t turn on. I need a replacement. ’m very angry and disappointed.,@MichaelBrody-o8g,UgyQ6iO51qo1498aa8F4AaABAg,0
Very bad product. The mac book delivered is not at all working this is not expected from such a reputed brand .looking for an immediate replacement or return.,@ShawnWhitman-c2x,UgxI9CWJczWj1JmFhtZ4AaABAg,0
Fake Product. received A Laptop Without Serial number of screen. unable To Claim Warranty.,@RufinoGtp,UgyVU-_Gzle3xQApjlx4AaABAg,0
Pathetic product. Below standard quality.,@rob162100,UgwMC-EV5nhH2DPcG-54AaABAg,0
Price mismatch. never buying such things on amazon ever again,@EipsteinFrederica-c9k,UgzLgFl8g2P295qa_394AaABAg,0
very poor. disappointed. Defective product.,@ScottOlivia-b7w,UgxXOdm9pRFgpvVpb6F4AaABAg,0
Be super careful about the NO COST EMI offer. The step is not shown. I paid the amount and now Kotak refuses to convert my purchase into EMI,@EdenAmos-t1f,Ugy4-AGW1Yzao4EuUYJ4AaABAg,0
Not good product -: After 6 months it became turn off. It is not starting now.,@ashleyellington7491,Ugx6JTMAcgPjFDM6HGt4AaABAg,0
Not worthy of 2017 model in 55k bcs before 4 months in sale cut price of 10 k now no discount..only making fool on name of great indian sale,@CarrollArno,UgzoEKESLFhoigOSQ4p4AaABAg,0
Amazon late delivery as usual and had so pathetic experience with Amazon courier team this time.,@PatriciaHall-h7t,UgwtHS-N0wZBRrAsLl94AaABAg,0
Overpriced people don't know slot about laptop.Apple products will cost u a lot cuz of its compatibility.,@FkshyRieot,UgxfTrz0OY-suSoJluZ4AaABAg,0
Worst laptop ever not for student use I repeat not for students.,@leonardesnymanasa9172,Ugy5aV2889_5OsZmPYJ4AaABAg,0
Price is very high not worthy,@FirstLast-dl8rt,Ugy-9RRCZ2rgyxui8n14AaABAg,0
bad product. Compatible issue for Microsoft office files. not better than window platform.,@DavidHaland,Ugw3xd1vd1L-OK32UnF4AaABAg,0
Bad Service.After 1 month it doesn't start without any problem and then i have to change main power IC.That become very costly.,@Jammie-f4i,UgysjDpObFCw_1iDnft4AaABAg,0
Bad. Received a broken/opened package. most likely a returned package.,@DavidPettway-x9i,UgxeR3DjaMgnl8T6JMd4AaABAg,0
pathetic. Wheel is not working well. Wheel is also very hard to press (to open the link in new window)... Now I use the wheel just to scroll. Usage of wheel as an alternate of Open in New Window is much difficult.,@KendraDavid5,UgxH5s5rFOHZHXqx8R54AaABAg,1274
small in size. so grip in your palm will not be very comfortable.otherwise good product.,@vlexical,UgxFzP7F6iz0UBRoi7h4AaABAg,0
Not able to hold it properly in hand and wire is also too short. I recommend to buy other larger size mouse with slightly more cost,@appcryptocom,Ugw5dhdbaRSWpXTkZLh4AaABAg,0
very bad. The mouse is small for my palm. It is difficult to click. especially double clicks. The click buttons are not very responsive.,@Peyton-k7q,Ugx5KXOEae8Sz1tjri94AaABAg,0
Defective product. not able to print a single page. Carriage struck in the sides of the printer loudly. Now I have to contact HP service. Very painful process,@포화-f8e,Ugyzh3-KsosyFhCOWRl4AaABAg,0
Very expensive. Cartridge is very expensive....not recommended to buy this product .,@HarryKearns-w7g,Ugz8QAgVdUXc95diTe94AaABAg,0
Average product. too bad for pc users.,@NdnxdidhhNndhxydh,UgzqXrjVK4GXMG-m_c54AaABAg,0
Utterly useless printer... TOTALLY unexpected from HP.. Pages getting stuck repeatedly. cartridge issues. abnormal noise.. Not worth even at 90% discount.,@lisamareeaccary5132,Ugy22YjJt7AKxbw8rVx4AaABAg,0
starsExcellent Product and Service by Amazon and Seller.,@randbeagleelcj9826,Ugx-dhhSujvrEAh0yDt4AaABAg,0
starsGood product but not able to login to Facetime.,@Red_Nanaki,UgxYLqN5DpY0ByTWPbR4AaABAg,0
Very good product. Perfectly packed & delivered on time. Working good till now.,@NatashaSingh988,Ugy_obMDrCANyIV4mqN4AaABAg,0
One of the Best MacBook from Apple. Thanks to Amazon for fastest delivery and very Competetive Price.,@Endless_Moments,Ugy9YVWvFMyGTnbQeC54AaABAg,0
There is no comparison for apple product. Performance is beyond expectation. Customer service is awesome!! loved it.,@DaExpoSing1,UgyraNW72S5c9KNzAV54AaABAg,1
Works great sound is clear and is really loud. Would recommend,@amanhyseneunom4811,Ugwsq_7-bjUMLJJDWi14AaABAg,0
This is a awesome product. My husband and I love it.,@LKre-vi5oq,Ugxa3PqwMxB7jW_S3yB4AaABAg,0
Love the sound that comes out and Alexa is very informative!,@eyeseer1,UgxAX3SquLa1Dpd_myp4AaABAg,0
great device to listen to music.best blue tooth on the market today.I highly recommend it,@generaluse2878,UgyzHZJAcY1L3EtAEFJ4AaABAg,1
Excellent product at this price.The performance n battery life is superb for the whole day.Best buy. these days you don't get a compact good performing laptop at this price.,@heaven-is-real,UgxpFHilJiTN_Qn0c2p4AaABAg,0
As everyone knows any Apple product is outstanding and superior to the rest. Its superb. fast and amazing.I recommend buying the AirCase MacBook sleeve ( black and green ) and the MOCA smooth touch battle hard shell skin cover ( grey colour ). Both these products are on amazon.in. both VERY GOOD and must buy products to help improve your MacBook Air experience. ( I do not advertise or sell these products btw),@ManusDextraPersonalAssistance,Ugy_UrvtUjoEA83j-TJ4AaABAg,0
The product is what it is and there is nothing to review about its capabilities. I wanted a MacBook and after looking at multiple outlets for prices amazon had the best pricing for this product. (With offers combined).I ordered the product on prime and there was a deficit on stock and by that delayed my delivery by a couple of days. Other than that the product was as expected. Delivery was smooth and as expected. The retailer is Appario retail and to my knowledge is an amazon subsidiary.,@genesotdorus413,Ugx5Dx3SzH-bwSSzIX94AaABAg,0
